model_name,mode,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
gigachat-2-max,closed,300,0.4478,0.3225,0.4477,0.3227,0.3394,0.3083,0.6931,0.351,0.4935,0.2398
gigachat-2-max,open_full_graph_edges,300,0.5618,0.3821,0.5602,0.3862,0.4876,0.365,0.5562,0.4393,0.5352,0.3567
