model_name,hop_group,mode,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
claude-sonnet-4-6,deep,closed,100,0.4799,0.1547,0.5205,0.1704,0.5079,0.1798,0.7412,0.2786,0.5763,0.1353
claude-sonnet-4-6,deep,open_full_graph_edges,100,0.7658,0.1308,0.7265,0.1298,0.6855,0.1788,0.7677,0.2976,0.7397,0.1308
claude-sonnet-4-6,medium,closed,100,0.4632,0.2151,0.5002,0.2371,0.5912,0.2575,0.7472,0.3323,0.6005,0.1957
claude-sonnet-4-6,medium,open_full_graph_edges,100,0.6931,0.1871,0.6924,0.1841,0.79,0.2188,0.7571,0.3604,0.7467,0.1937
claude-sonnet-4-6,shallow,closed,100,0.3933,0.2356,0.4494,0.2558,0.7617,0.3172,0.7434,0.3905,0.6328,0.2285
claude-sonnet-4-6,shallow,open_full_graph_edges,100,0.5825,0.2028,0.6109,0.2115,0.9108,0.1951,0.83,0.3531,0.7745,0.1649
