model_name,mode,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
yandexgpt-5-pro,closed,300,0.4183,0.3444,0.4054,0.3525,0.2886,0.2901,0.6094,0.3472,0.4388,0.2591
yandexgpt-5-pro,open_full_graph_edges,287,0.7297,0.2679,0.7285,0.2665,0.5941,0.3027,0.7102,0.3595,0.678,0.2519
