model_name,hop_group,mode,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
o3,deep,closed,100,0.3779,0.2121,0.3227,0.2051,0.3526,0.1869,0.7072,0.3829,0.4792,0.1905
o3,deep,open_full_graph_edges,94,0.5502,0.2791,0.4067,0.2896,0.6312,0.1829,0.8019,0.3362,0.6611,0.1706
o3,medium,closed,100,0.4254,0.293,0.3559,0.2818,0.4496,0.2897,0.7702,0.3474,0.5484,0.235
o3,medium,open_full_graph_edges,99,0.6273,0.2998,0.4912,0.3466,0.7736,0.2081,0.7917,0.342,0.7309,0.1895
o3,shallow,closed,100,0.41,0.3161,0.4137,0.3128,0.66,0.3839,0.8203,0.3331,0.6301,0.2603
o3,shallow,open_full_graph_edges,100,0.6096,0.277,0.5645,0.3219,0.9083,0.1904,0.89,0.2999,0.8027,0.1533
