model_name,task_type,mode,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
deepseek-r1-api,conflict_resolution,closed,75,0.5769,0.2569,0.5826,0.255,0.5315,0.2844,0.676,0.4314,0.5948,0.2398
deepseek-r1-api,conflict_resolution,open_full_graph_edges,74,0.763,0.1591,0.7616,0.1794,0.7488,0.2168,0.6849,0.4271,0.7322,0.1931
deepseek-r1-api,issue_spotting,closed,75,0.3912,0.2544,0.3918,0.2677,0.4757,0.3317,0.7212,0.2744,0.5294,0.2177
deepseek-r1-api,issue_spotting,open_full_graph_edges,68,0.7062,0.2071,0.6977,0.209,0.8548,0.1858,0.8734,0.2226,0.8115,0.1244
deepseek-r1-api,rule_selection,closed,75,0.4432,0.2582,0.4194,0.2763,0.4817,0.2919,0.7023,0.4088,0.5424,0.2281
deepseek-r1-api,rule_selection,open_full_graph_edges,73,0.7165,0.2054,0.6957,0.2274,0.8218,0.2058,0.8449,0.2998,0.7944,0.1556
deepseek-r1-api,temporal_validity,closed,75,0.4703,0.2524,0.4821,0.2554,0.5193,0.3691,0.676,0.3953,0.5552,0.2592
deepseek-r1-api,temporal_validity,open_full_graph_edges,72,0.6517,0.2419,0.6296,0.2476,0.7198,0.2469,0.755,0.3955,0.7088,0.1856
