model_name,hop_group,n_pairs,norm_coverage_gap_mean,norm_coverage_gap_std,step_correctness_gap_mean,step_correctness_gap_std,answer_correctness_gap_mean,answer_correctness_gap_std,final_score_gap_mean,final_score_gap_std,q_knows,q_reasons,q_hallucinates,q_incompetent
deepseek-r1-api,deep,89,0.3249,0.2465,0.299,0.2436,0.1047,0.3678,0.2429,0.212,38,42,4,5
deepseek-r1-api,medium,98,0.2651,0.2574,0.301,0.3104,0.1089,0.4489,0.225,0.2541,58,31,4,5
deepseek-r1-api,shallow,100,0.1344,0.3148,0.2442,0.4079,0.0631,0.4586,0.1472,0.2983,67,22,8,3
