model_name,branch_of_law,mode,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
gigachat-lite,unknown,closed,300,0.3957,0.3506,0.3548,0.3498,0.2455,0.2742,0.5563,0.3797,0.3992,0.2519
gigachat-lite,unknown,open_full_graph_edges,300,0.3338,0.3893,0.3143,0.384,0.3838,0.347,0.4547,0.4355,0.3908,0.3127
