model_name,hop_group,mode,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
gigachat-lite,deep,closed,100,0.2933,0.2262,0.2697,0.2273,0.1499,0.1518,0.5309,0.3262,0.3247,0.179
gigachat-lite,deep,open_full_graph_edges,100,0.2121,0.3121,0.2121,0.3121,0.2285,0.222,0.3403,0.4025,0.2603,0.2612
gigachat-lite,medium,closed,100,0.4285,0.3391,0.3828,0.3489,0.2383,0.2063,0.5772,0.3732,0.4147,0.2314
gigachat-lite,medium,open_full_graph_edges,100,0.3617,0.3745,0.3432,0.3693,0.3488,0.2808,0.4636,0.4133,0.3914,0.2811
gigachat-lite,shallow,closed,100,0.4653,0.4341,0.412,0.4297,0.3483,0.3763,0.5607,0.4342,0.4581,0.311
gigachat-lite,shallow,open_full_graph_edges,100,0.4277,0.4421,0.3877,0.4413,0.5742,0.4162,0.5601,0.4641,0.5206,0.3374
