model_name,mode,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
gemma4-26b,closed,300,0.3771,0.3004,0.3176,0.3329,0.3117,0.295,0.5928,0.3734,0.4272,0.2506
gemma4-26b,open_full_graph_edges,300,0.6723,0.3254,0.5744,0.3843,0.7021,0.2424,0.7973,0.3068,0.7239,0.2063
