model_name,hop_group,mode,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
gemma4-26b,deep,closed,100,0.3098,0.2285,0.2182,0.2451,0.208,0.1795,0.5681,0.3273,0.362,0.1929
gemma4-26b,deep,open_full_graph_edges,100,0.5968,0.3507,0.4557,0.3777,0.5413,0.1846,0.7412,0.2942,0.6264,0.1838
gemma4-26b,medium,closed,100,0.4082,0.305,0.3497,0.3417,0.2846,0.2367,0.6135,0.3607,0.4354,0.233
gemma4-26b,medium,open_full_graph_edges,100,0.6816,0.3167,0.6003,0.3646,0.7008,0.2231,0.8239,0.2937,0.7354,0.1995
gemma4-26b,shallow,closed,100,0.4133,0.3469,0.3849,0.3771,0.4425,0.3817,0.5969,0.4275,0.4842,0.3008
gemma4-26b,shallow,open_full_graph_edges,100,0.7385,0.2936,0.6672,0.3831,0.8642,0.2023,0.8269,0.3265,0.8099,0.1944
