model_name,hop_group,n_pairs,norm_coverage_gap_mean,norm_coverage_gap_std,step_correctness_gap_mean,step_correctness_gap_std,answer_correctness_gap_mean,answer_correctness_gap_std,final_score_gap_mean,final_score_gap_std,q_knows,q_reasons,q_hallucinates,q_incompetent
gemini-3.1-pro-preview,deep,100,0.2196,0.1866,0.2018,0.171,0.0699,0.2971,0.1638,0.1526,63,29,1,7
gemini-3.1-pro-preview,medium,100,0.1485,0.1983,0.1646,0.2272,0.0098,0.3924,0.1076,0.1907,80,9,4,7
gemini-3.1-pro-preview,shallow,100,0.179,0.338,0.1308,0.3073,-0.0001,0.2919,0.1033,0.227,80,16,1,3
