model,mean_closed,ci_low,ci_high
Gemini 3.1 Pro,0.6509,0.6275,0.6747
Claude Sonnet 4.6,0.6032,0.5812,0.6241
DeepSeek-R1 671B,0.5575,0.531,0.5858
o3,0.5562,0.5288,0.5835
GPT-4o,0.5174,0.4878,0.5468
GigaChat-2 Max,0.4935,0.468,0.5191
YandexGPT 5.1 Pro,0.443,0.4144,0.472
Gemma-4 26B,0.4272,0.3992,0.4551
GigaChat-2 Lite,0.3992,0.3698,0.4289
Mistral Small 3.2,0.3885,0.3621,0.4158
T-pro-it-2.1,0.3833,0.3509,0.4153
DeepSeek-R1 32B,0.3616,0.333,0.3903
