model,mean_open,ci_low,ci_high
Gemini 3.1 Pro,0.7758,0.7569,0.7955
Claude Sonnet 4.6,0.7536,0.7363,0.7722
DeepSeek-R1 671B,0.761,0.7405,0.7813
o3,0.733,0.7121,0.7537
GPT-4o,0.7515,0.7309,0.7739
GigaChat-2 Max,0.5352,0.4956,0.5752
YandexGPT 5.1 Pro,0.678,0.6496,0.7059
Gemma-4 26B,0.7239,0.7004,0.7469
GigaChat-2 Lite,0.3908,0.3574,0.4261
Mistral Small 3.2,0.6452,0.6203,0.6686
T-pro-it-2.1,0.7155,0.6905,0.7379
DeepSeek-R1 32B,0.6777,0.6546,0.7016
