model_name,task_type,mode,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
deepseek-r1-32b-ollama,conflict_resolution,closed,75,0.4989,0.3659,0.4927,0.3601,0.352,0.303,0.5201,0.4078,0.457,0.2662
deepseek-r1-32b-ollama,conflict_resolution,open_full_graph_edges,75,0.7708,0.1921,0.7672,0.1989,0.5954,0.2398,0.6448,0.4152,0.6703,0.2117
deepseek-r1-32b-ollama,issue_spotting,closed,75,0.1057,0.2271,0.1065,0.2283,0.0744,0.1591,0.5112,0.349,0.2304,0.1564
deepseek-r1-32b-ollama,issue_spotting,open_full_graph_edges,75,0.6773,0.3047,0.6764,0.3142,0.7079,0.2409,0.7125,0.2413,0.6993,0.1885
deepseek-r1-32b-ollama,rule_selection,closed,75,0.2164,0.3013,0.2172,0.3013,0.1331,0.1987,0.6047,0.3945,0.3181,0.2201
deepseek-r1-32b-ollama,rule_selection,open_full_graph_edges,75,0.6962,0.2183,0.7182,0.2184,0.6085,0.2492,0.7515,0.3599,0.6854,0.1976
deepseek-r1-32b-ollama,temporal_validity,closed,75,0.453,0.3949,0.4635,0.4079,0.3363,0.3757,0.5337,0.4213,0.441,0.293
deepseek-r1-32b-ollama,temporal_validity,open_full_graph_edges,75,0.6888,0.2536,0.722,0.2607,0.5369,0.3062,0.7424,0.3742,0.656,0.2163
