model_name,hop_group,mode,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
mistral-small-3-2,deep,closed,100,0.2801,0.2329,0.2642,0.2405,0.1841,0.1539,0.4474,0.3834,0.3039,0.2026
mistral-small-3-2,deep,open_full_graph_edges,100,0.6495,0.2849,0.6146,0.2821,0.4676,0.1737,0.6346,0.3436,0.5839,0.1887
mistral-small-3-2,medium,closed,100,0.3909,0.3153,0.3653,0.3287,0.2479,0.2201,0.5169,0.4008,0.3852,0.2355
mistral-small-3-2,medium,open_full_graph_edges,100,0.6802,0.2958,0.6564,0.2971,0.5946,0.2442,0.6471,0.3962,0.6406,0.2166
mistral-small-3-2,shallow,closed,100,0.4035,0.3345,0.4157,0.3583,0.445,0.3833,0.5805,0.4309,0.4763,0.2715
mistral-small-3-2,shallow,open_full_graph_edges,100,0.6621,0.2644,0.6934,0.2699,0.7775,0.298,0.6934,0.4335,0.711,0.2253
